"zip","city","county","population"
61741,"Forrest","Livingston County",1549
62047,"Hardin","Calhoun County",1548
61742,"Goodfield","Woodford County",1542
61006,"Ashton","Lee County",1541
62974,"Pittsburg","Williamson County",1536
61322,"Depue","Bureau County",1530
62272,"Percy","Randolph County",1521
62546,"Morrisonville","Christian County",1521
62912,"Buncombe","Johnson County",1515
61570,"Washburn","Woodford County",1503
61501,"Astoria","Fulton County",1493
61031,"Franklin Grove","Lee County",1492
62061,"Marine","Madison County",1487
62638,"Franklin","Morgan County",1485
62824,"Clay City","Clay County",1485
60602,"Chicago","Cook County",1480
62330,"Dallas City","Hancock County",1472
61051,"Milledgeville","Carroll County",1469
61232,"Andalusia","Rock Island County",1469
62868,"Noble","Richland County",1463
60963,"Rossville","Vermilion County",1460
61078,"Shannon","Carroll County",1459
61415,"Avon","Fulton County",1459
61725,"Carlock","Woodford County",1459
62295,"Valmeyer","Monroe County",1459
60921,"Chatsworth","Livingston County",1458
62366,"Pleasant Hill","Pike County",1450
62354,"Nauvoo","Hancock County",1447
62674,"Palmyra","Macoupin County",1447
62560,"Raymond","Montgomery County",1446
61327,"Hennepin","Putnam County",1442
61377,"Wenona","LaSalle County",1441
61747,"Hopedale","Tazewell County",1441
61272,"New Boston","Mercer County",1437
61361,"Sheffield","Bureau County",1417
62830,"Dix","Jefferson County",1416
62539,"Illiopolis","Sangamon County",1412
60460,"Odell","Livingston County",1399
62612,"Ashland","Cass County",1398
62835,"Enfield","White County",1398
61943,"Oakland","Coles County",1396
62642,"Greenview","Menard County",1396
62984,"Shawneetown","Gallatin County",1393
61412,"Alexis","Mercer County",1392
62513,"Blue Mound","Christian County",1391
60966,"Sheldon","Iroquois County",1385
62028,"Elsah","Jersey County",1385
61740,"Flanagan","Livingston County",1377
61728,"Colfax","McLean County",1359
61759,"Minier","Tazewell County",1359
62555,"Owaneco","Christian County",1358
61329,"Ladd","Bureau County",1356
61931,"Humboldt","Coles County",1350
62931,"Elizabethtown","Hardin County",1348
62048,"Hartford","Madison County",1347
62838,"Farina","Fayette County",1341
61041,"Hanover","Jo Daviess County",1338
61486,"Viola","Mercer County",1330
60911,"Ashkum","Iroquois County",1325
61070,"Rock City","Stephenson County",1322
62086,"Sorento","Bond County",1318
61913,"Atwood","Piatt County",1300
61854,"Mansfield","Piatt County",1299
60603,"Chicago","Cook County",1298
62540,"Kincaid","Christian County",1297
62367,"Plymouth","Hancock County",1294
61319,"Cornell","Livingston County",1286
61933,"Kansas","Edgar County",1286
61776,"Towanda","McLean County",1285
61235,"Atkinson","Henry County",1283
61353,"Paw Paw","Lee County",1282
61473,"Roseville","Warren County",1279
61428,"Dahinda","Knox County",1278
62376,"Ursa","Adams County",1276
61038,"Garden Prairie","Boone County",1274
61368,"Tiskilwa","Bureau County",1273
61283,"Tampico","Whiteside County",1269
62571,"Tower Hill","Shelby County",1269
62999,"Zeigler","Franklin County",1267
62473,"Watson","Effingham County",1264
61729,"Congerville","Woodford County",1263
62634,"Elkhart","Logan County",1263
61565,"Sparland","Marshall County",1262
61379,"Wyanet","Bureau County",1260
60935,"Essex","Kankakee County",1259
61912,"Ashmore","Coles County",1255
62668,"Murrayville","Morgan County",1249
61480,"Stronghurst","Henderson County",1236
61421,"Bradford","Stark County",1231
61859,"Ogden","Champaign County",1227
61001,"Apple River","Jo Daviess County",1226
62476,"West Salem","Edwards County",1222
62665,"Meredosia","Morgan County",1222
61370,"Tonica","LaSalle County",1215
62661,"Loami","Sangamon County",1212
62074,"New Douglas","Madison County",1205
62701,"Springfield","Sangamon County",1205
62460,"Saint Francisville","Lawrence County",1202
61262,"Lynn Center","Henry County",1197
62324,"Clayton","Adams County",1196
61465,"New Windsor","Mercer County",1192
61239,"Carbon Cliff","Rock Island County",1189
62810,"Belle Rive","Jefferson County",1188
62410,"Allendale","Wabash County",1183
61330,"La Moille","Bureau County",1182
61925,"Dalton City","Macon County",1182
62956,"Karnak","Massac County",1172
61865,"Potomac","Vermilion County",1167
61602,"Peoria","Peoria County",1163
61942,"Newman","Douglas County",1161
61467,"Oneida","Knox County",1159
61814,"Bismarck","Vermilion County",1155
62872,"Opdyke","Jefferson County",1153
62932,"Elkville","Jackson County",1152
61349,"Ohio","Bureau County",1151
62988,"Tamms","Alexander County",1149
62573,"Warrensburg","Macon County",1147
62827,"Crossville","White County",1147
61052,"Monroe Center","Ogle County",1145
61847,"Gifford","Champaign County",1144
62433,"Hutsonville","Crawford County",1140
61242,"Cordova","Rock Island County",1135
62621,"Bluffs","Scott County",1133
62816,"Bonnie","Jefferson County",1133
62803,"Hoyleton","Washington County",1132
61754,"McLean","McLean County",1131
62985,"Simpson","Pope County",1128
61878,"Thomasboro","Champaign County",1127
62017,"Coffeen","Montgomery County",1127
61234,"Annawan","Henry County",1116
61841,"Fairmount","Vermilion County",1112
62964,"Mounds","Pulaski County",1109
62094,"Witt","Montgomery County",1107
62440,"Lerna","Coles County",1107
61771,"Secor","Woodford County",1106
61877,"Sidney","Champaign County",1106
61526,"Edelstein","Peoria County",1105
62463,"Stewardson","Shelby County",1103
62046,"Hamel","Madison County",1102
62545,"Mechanicsburg","Sangamon County",1101
62933,"Energy","Williamson County",1101
62255,"Lenzburg","St. Clair County",1092
60512,"Bristol","Kendall County",1090
62022,"Dow","Jersey County",1088
61870,"Ridge Farm","Vermilion County",1085
61488,"Wataga","Knox County",1084
62338,"Fowler","Adams County",1075
61014,"Chadwick","Carroll County",1067
61770,"Saybrook","McLean County",1067
62889,"Texico","Jefferson County",1066
62972,"Ozark","Johnson County",1056
61259,"Illinois City","Rock Island County",1053
62536,"Glenarm","Sangamon County",1049
62214,"Addieville","Washington County",1048
62611,"Arenzville","Cass County",1047
62534,"Findlay","Shelby County",1041
61230,"Albany","Whiteside County",1039
62090,"Venice","Madison County",1039
62875,"Patoka","Marion County",1039
61413,"Alpha","Henry County",1035
61490,"Woodhull","Henry County",1035
61018,"Dakota","Stephenson County",1034
61844,"Fithian","Vermilion County",1031
62355,"Nebo","Pike County",1026
61447,"Kirkwood","Warren County",1020
62982,"Rosiclare","Hardin County",1016
61279,"Reynolds","Mercer County",1015
62627,"Chandlerville","Cass County",1006
62625,"Cantrall","Sangamon County",1003
62219,"Beckemeyer","Clinton County",993
60530,"Lee","Lee County",992
61375,"Varna","Marshall County",989
61075,"Scales Mound","Jo Daviess County",986
62445,"Montrose","Jasper County",986
61733,"Deer Creek","Tazewell County",984
61884,"White Heath","Piatt County",973
62990,"Thebes","Alexander County",973
62462,"Sigel","Shelby County",971
62339,"Golden","Adams County",970
62853,"Kell","Marion County",969
61420,"Blandinsville","McDonough County",968
61777,"Wapella","De Witt County",956
61325,"Grand Ridge","LaSalle County",949
61774,"Stanford","McLean County",949
60960,"Rankin","Vermilion County",946
61441,"Ipava","Fulton County",945
60550,"Shabbona","DeKalb County",941
62277,"Prairie Du Rocher","Randolph County",940
61569,"Trivoli","Peoria County",938
61564,"South Pekin","Tazewell County",936
62253,"Keyesport","Bond County",932
62979,"Ridgway","Gallatin County",930
62244,"Fults","Monroe County",928
62422,"Cowden","Shelby County",926
62893,"Walnut Hill","Jefferson County",926
62916,"Campbell Hill","Jackson County",925
62630,"Chesterfield","Macoupin County",924
62628,"Chapin","Morgan County",917
62533,"Farmersville","Montgomery County",908
60959,"Piper City","Ford County",904
62515,"Buffalo","Sangamon County",902
61015,"Chana","Ogle County",901
62836,"Ewing","Franklin County",891
62058,"Livingston","Madison County",884
62241,"Ellis Grove","Randolph County",879
62311,"Augusta","Hancock County",872
62021,"Dorsey","Madison County",871
60072,"Ringwood","McHenry County",870
62871,"Omaha","Gallatin County",866
62378,"Versailles","Brown County",863
62026,"Edwardsville","Madison County",851
61875,"Seymour","Champaign County",846
61257,"Hillsdale","Rock Island County",844
61863,"Pesotum","Champaign County",844
61367,"Sublette","Lee County",843
62425,"Dundas","Richland County",838
62934,"Equality","Gallatin County",833
62567,"Stonington","Christian County",831
61039,"German Valley","Stephenson County",824
61489,"Williamsfield","Knox County",820
62551,"Niantic","Macon County",820
62919,"Cave In Rock","Hardin County",819
62465,"Strasburg","Shelby County",806
62643,"Hartsburg","Logan County",797
60951,"Martinton","Iroquois County",796
62063,"Medora","Jersey County",795
62051,"Irving","Montgomery County",791
60549,"Serena","LaSalle County",784
61544,"London Mills","Fulton County",784
62894,"Waltonville","Jefferson County",782
62905,"Alto Pass","Union County",779
62426,"Edgewood","Clay County",778
61882,"Weldon","De Witt County",777
61928,"Gays","Moultrie County",776
61345,"Neponset","Bureau County",770
62217,"Baldwin","Randolph County",767
62807,"Alma","Marion County",767
62032,"Fillmore","Montgomery County",765
62268,"Oakdale","Washington County",764
62292,"Tilden","Randolph County",762
60930,"Danforth","Iroquois County",761
60918,"Buckley","Iroquois County",754
61436,"Gilson","Knox County",745
61440,"Industry","McDonough County",744
60961,"Reddick","Kankakee County",740
61438,"Good Hope","McDonough County",739
61334,"Lostant","LaSalle County",738
61484,"Vermont","Fulton County",738
62848,"Irvington","Washington County",738
61260,"Joy","Mercer County",737
62994,"Vergennes","Jackson County",737
61572,"Yates City","Knox County",732
62059,"Lovejoy","St. Clair County",729
61919,"Camargo","Douglas County",728
61320,"Dalzell","Bureau County",727
60537,"Millington","LaSalle County",726
62842,"Geff","Wayne County",724
60553,"Steward","Lee County",722
61545,"Lowpoint","Woodford County",722
61876,"Sidell","Vermilion County",717
62431,"Herrick","Shelby County",717
61430,"East Galesburg","Knox County",713
62480,"Willow Hill","Jasper County",713
62963,"Mound City","Pulaski County",713
62479,"Wheeler","Jasper County",711
62523,"Decatur","Macon County",707
62316,"Bowen","Hancock County",705
62949,"Hurst","Williamson County",702
61414,"Altona","Knox County",696
61336,"Magnolia","Putnam County",694
62850,"Johnsonville","Wayne County",693
62883,"Scheller","Jefferson County",693
61013,"Cedarville","Stephenson County",690
61930,"Hindsboro","Douglas County",687
61314,"Buda","Bureau County",686
62284,"Smithboro","Bond County",686
62682,"San Jose","Mason County",684
60952,"Melvin","Ford County",683
61278,"Rapids City","Rock Island County",678
62688,"Tallula","Menard County",678
61453,"Little York","Warren County",677
61425,"Carman","Henderson County",672
61929,"Hammond","Piatt County",672
60479,"Verona","Grundy County",671
62006,"Batchtown","Calhoun County",667
60474,"South Wilmington","Grundy County",663
62635,"Emden","Logan County",661
61722,"Arrowsmith","McLean County",658
62880,"Saint Peter","Fayette County",658
61263,"Matherville","Mercer County",657
61261,"Lyndon","Whiteside County",656
61458,"Maquon","Knox County",656
61749,"Kenney","De Witt County",653
62940,"Gorham","Jackson County",645
61769,"Saunemin","Livingston County",641
62957,"McClure","Alexander County",640
62817,"Broughton","Hamilton County",639
62941,"Grand Chain","Pulaski County",639
61423,"Cameron","Warren County",638
62633,"Easton","Mason County",638
62570,"Tovey","Christian County",629
62992,"Ullin","Pulaski County",629
62942,"Grand Tower","Jackson County",628
61516,"Benson","Woodford County",627
62474,"Westfield","Clark County",626
62461,"Shumway","Effingham County",625
62444,"Mode","Shelby County",623
61872,"Sadorus","Champaign County",620
60604,"Chicago","Cook County",616
61840,"Dewey","Champaign County",612
62343,"Hull","Pike County",611
62250,"Hoffman","Clinton County",607
62432,"Hidalgo","Jasper County",601
62977,"Raleigh","Saline County",599
61318,"Compton","Lee County",595
62655,"Kilbourne","Mason County",594
62436,"Jewett","Cumberland County",590
60962,"Roberts","Ford County",589
60929,"Cullom","Livingston County",587
60910,"Aroma Park","Kankakee County",582
61862,"Penfield","Champaign County",581
61049,"Lindenwood","Ogle County",579
61454,"Lomax","Henderson County",579
61811,"Alvin","Vermilion County",578
62013,"Brussels","Calhoun County",578
61418,"Biggsville","Henderson County",575
62036,"Golden Eagle","Calhoun County",574
62547,"Mount Auburn","Christian County",574
62667,"Modesto","Macoupin County",569
62867,"New Haven","White County",568
60949,"Ludlow","Champaign County",564
62282,"Saint Libory","St. Clair County",563
62997,"Willisville","Perry County",561
61337,"Malden","Bureau County",558
61839,"De Land","Piatt County",558
62238,"Cutler","Perry County",558
61721,"Armington","Tazewell County",552
62469,"Trilla","Cumberland County",552
61476,"Seaton","Mercer County",551
61437,"Gladstone","Henderson County",549
61778,"Waynesville","De Witt County",547
62423,"Dennison","Clark County",546
61340,"Mark","Putnam County",545
61432,"Fairview","Fulton County",544
62689,"Thayer","Sangamon County",542
62897,"Whittington","Franklin County",542
62314,"Baylis","Pike County",530
61089,"Winslow","Stephenson County",526
62477,"West Union","Clark County",526
61932,"Hume","Edgar County",525
62358,"Niota","Hancock County",525
62617,"Bath","Mason County",524
62996,"Villa Ridge","Pulaski County",523
61317,"Cherry","Bureau County",521
62248,"Hecker","Monroe County",521
60919,"Cabery","Ford County",520
60029,"Golf","Cook County",518
62356,"New Canton","Pike County",518
62031,"Fieldon","Jersey County",517
62349,"Loraine","Adams County",517
62027,"Eldred","Greene County",516
62891,"Valier","Franklin County",514
61378,"West Brooklyn","Lee County",513
60931,"Donovan","Iroquois County",510
61830,"Cisco","Piatt County",510
62518,"Chestnut","Logan County",509
61442,"Keithsburg","Mercer County",504
62695,"Woodson","Morgan County",501
60928,"Crescent City","Iroquois County",493
61482,"Table Grove","Fulton County",492
61470,"Prairie City","McDonough County",488
62089,"Taylor Springs","Montgomery County",487
62093,"Wilsonville","Macoupin County",487
62666,"Middletown","Logan County",485
60109,"Burlington","Kane County",481
61560,"Putnam","Putnam County",477
62543,"Latham","Logan County",477
60912,"Beaverville","Iroquois County",475
62885,"Shobonier","Fayette County",474
62325,"Coatsburg","Adams County",465
62970,"Olmsted","Pulaski County",465
62365,"Plainville","Adams County",464
61625,"Peoria","Peoria County",456
61472,"Rio","Knox County",453
61067,"Ridott","Stephenson County",450
60917,"Buckingham","Kankakee County",449
62512,"Beason","Logan County",446
61477,"Smithfield","Fulton County",443
62923,"Cypress","Johnson County",441
62874,"Orient","Franklin County",440
62908,"Belknap","Massac County",440
62877,"Richview","Washington County",437
62943,"Grantsburg","Johnson County",428
62015,"Butler","Montgomery County",423
62280,"Rockwood","Jackson County",421
61478,"Smithshire","Warren County",420
61917,"Brocton","Edgar County",420
62077,"Panama","Montgomery County",420
62572,"Waggoner","Montgomery County",420
61485,"Victoria","Knox County",417
61737,"Ellsworth","McLean County",416
60946,"Kempton","Ford County",413
61567,"Topeka","Mason County",411
62954,"Junction","Gallatin County",411
62818,"Browns","Edwards County",409
62947,"Herod","Pope County",408
61358,"Rutland","LaSalle County",407
61459,"Marietta","Fulton County",406
61042,"Harmon","Lee County",404
62481,"Yale","Jasper County",398
61312,"Arlington","Bureau County",392
62976,"Pulaski","Pulaski County",392
62452,"Parkersburg","Richland County",387
62860,"Macedonia","Franklin County",384
62915,"Cambria","Williamson County",384
61563,"Saint David","Fulton County",383
62375,"Timewell","Brown County",383
62313,"Basco","Hancock County",382
61251,"Fenton","Whiteside County",377
61816,"Broadlands","Champaign County",377
61411,"Adair","McDonough County",376
60968,"Thawville","Iroquois County",374
61720,"Anchor","McLean County",374
60932,"East Lynn","Vermilion County",373
62851,"Keenes","Wayne County",371
62556,"Palmer","Christian County",370
61359,"Seatonville","Bureau County",369
61724,"Bellflower","McLean County",369
62649,"Hettick","Macoupin County",369
61773,"Sibley","Ford County",367
62421,"Claremont","Richland County",366
62671,"New Holland","Logan County",362
61730,"Cooksville","McLean County",361
62673,"Oakford","Menard County",361
61735,"Dewitt","De Witt County",360
62380,"West Point","Hancock County",360
62345,"Kinderhook","Pike County",359
60470,"Ransom","LaSalle County",358
62419,"Calhoun","Richland County",352
62053,"Kampsville","Calhoun County",351
61850,"Indianola","Vermilion County",350
62815,"Bone Gap","Edwards County",350
60973,"Wellington","Iroquois County",347
61532,"Forest City","Mason County",347
62601,"Alexander","Morgan County",344
62538,"Harvel","Montgomery County",342
61449,"La Fayette","Stark County",339
62091,"Walshville","Montgomery County",339
62831,"Du Bois","Washington County",339
61815,"Bondville","Champaign County",335
62478,"West York","Clark County",333
62856,"Logan","Franklin County",332
62886,"Sims","Wayne County",332
62081,"Rockbridge","Greene County",329
62413,"Annapolis","Crawford County",329
61812,"Armstrong","Vermilion County",322
62624,"Browning","Schuyler County",321
62446,"Mount Erie","Wayne County",318
62553,"Oconee","Shelby County",318
62927,"Dowell","Jackson County",317
62054,"Kane","Greene County",315
62019,"Donnellson","Bond County",314
62969,"Olive Branch","Alexander County",314
60539,"Mooseheart","Kane County",313
61335,"McNabb","Putnam County",312
62370,"Rockport","Pike County",309
62967,"New Burnside","Johnson County",309
60113,"Creston","Ogle County",306
62273,"Pierron","Bond County",305
61333,"Long Point","Livingston County",304
61553,"Norris","Fulton County",303
62361,"Pearl","Pike County",301
61372,"Troy Grove","LaSalle County",300
61338,"Manlius","Bureau County",299
61439,"Henderson","Knox County",299
61524,"Dunfermline","Fulton County",299
60974,"Woodland","Iroquois County",297
62514,"Boody","Macon County",297
61871,"Royal","Champaign County",296
62079,"Piasa","Macoupin County",292
61233,"Andover","Henry County",281
62459,"Sainte Marie","Jasper County",281
62833,"Ellery","Wayne County",280
61431,"Ellisville","Fulton County",279
61851,"Ivesdale","Champaign County",279
61772,"Shirley","McLean County",273
62289,"Summerfield","St. Clair County",273
61451,"Laura","Peoria County",272
62537,"Harristown","Macon County",272
61435,"Gerlaw","Warren County",271
62050,"Hillview","Greene County",268
62809,"Barnhill","Wayne County",267
61810,"Allerton","Vermilion County",265
61315,"Bureau","Bureau County",264
61344,"Mineral","Bureau County",264
61466,"North Henderson","Mercer County",263
61940,"Metcalf","Edgar County",259
62953,"Joppa","Massac County",259
60933,"Elliott","Ford County",258
60111,"Clare","DeKalb County",257
61316,"Cedar Point","LaSalle County",256
60208,"Evanston","Cook County",255
62825,"Coello","Franklin County",254
61363,"Standard","Putnam County",250
61091,"Woosung","Ogle County",248
62045,"Hamburg","Calhoun County",247
62819,"Buckner","Franklin County",247
62862,"Mill Shoals","White County",244
60934,"Emington","Livingston County",243
61313,"Blackstone","Livingston County",241
62438,"Lakewood","Shelby County",238
62362,"Perry","Pike County",237
61848,"Henning","Vermilion County",236
61519,"Bryant","Fulton County",235
61845,"Foosland","Champaign County",233
62610,"Alsey","Scott County",233
62921,"Colp","Williamson County",233
60129,"Esmond","Ogle County",229
62631,"Concord","Morgan County",228
62011,"Bingham","Fayette County",227
61044,"Kent","Stephenson County",225
62373,"Sutter","Hancock County",225
61321,"Dana","LaSalle County",224
62811,"Bellmont","Wabash County",224
61474,"Saint Augustine","Knox County",221
62319,"Camden","Schuyler County",218
62998,"Wolf Lake","Union County",218
62352,"Milton","Pike County",217
62374,"Tennessee","Hancock County",216
62639,"Frederick","Schuyler County",215
61079,"Shirland","Winnebago County",210
62975,"Pomona","Jackson County",207
61416,"Bardolph","McDonough County",204
62348,"Lima","Adams County",204
61955,"Vermilion","Edgar County",202
61050,"McConnell","Stephenson County",199
62323,"Chambersburg","Pike County",198
61274,"Osco","Henry County",197
62663,"Manchester","Scott County",197
61007,"Baileyville","Ogle County",196
60141,"Hines","Cook County",195
62085,"Sawyerville","Macoupin County",193
62434,"Ingraham","Clay County",191
62475,"West Liberty","Jasper County",189
61775,"Strawn","Livingston County",187
62517,"Bulpitt","Christian County",185
62359,"Paloma","Adams County",184
60945,"Iroquois","Iroquois County",183
61258,"Hooppole","Henry County",182
61417,"Berwick","Warren County",182
61311,"Ancona","Livingston County",180
61460,"Media","Henderson County",180
61475,"Sciota","McDonough County",180
61059,"Nora","Jo Daviess County",178
62878,"Rinard","Wayne County",177
60920,"Campus","Livingston County",172
61852,"Longview","Champaign County",172
61949,"Redmon","Edgar County",171
61936,"La Place","Piatt County",170
61941,"Murdock","Douglas County",168
62346,"La Prairie","Adams County",164
62334,"Elvaston","Hancock County",163
61831,"Collison","Vermilion County",160
62297,"Walsh","Randolph County",158
61452,"Littleton","Schuyler County",157
61243,"Deer Grove","Whiteside County",155
61112,"Rockford","Winnebago County",152
62672,"Nilwood","Macoupin County",151
62892,"Vernon","Marion County",150
61539,"Kingston Mines","Peoria County",147
61857,"Muncie","Vermilion County",147
62876,"Radom","Washington County",146
61037,"Galt","Whiteside County",145
62083,"Rosamond","Christian County",145
61043,"Holcomb","Ogle County",143
62023,"Eagarville","Macoupin County",139
61419,"Bishop Hill","Henry County",134
61471,"Raritan","Henderson County",134
62357,"New Salem","Pike County",134
60956,"Papineau","Iroquois County",132
60075,"Russell","Lake County",129
61323,"Dover","Bureau County",125
62852,"Keensburg","Wabash County",119
61750,"Lane","De Witt County",118
62841,"Freeman Spur","Williamson County",118
60437,"Kinsman","Grundy County",117
61743,"Graymont","Livingston County",113
62279,"Renault","Monroe County",112
61332,"Leonore","LaSalle County",104
62098,"Wrights","Greene County",104
62887,"Springerton","White County",104
62266,"New Memphis","Clinton County",103
62928,"Eddyville","Pope County",103
62622,"Bluff Springs","Cass County",100
61077,"Seward","Winnebago County",97
61324,"Eldena","Lee County",97
61541,"La Rose","Marshall County",97
62820,"Burnt Prairie","White County",96
61479,"Speer","Marshall County",95
61468,"Ophiem","Henry County",92
61276,"Preemption","Mercer County",88
62843,"Golden Gate","Wayne County",87
62336,"Ferris","Hancock County",84
61371,"Triumph","LaSalle County",83
62464,"Stoy","Crawford County",81
62261,"Modoc","Randolph County",80
62965,"Muddy","Saline County",79
61731,"Cropsey","McLean County",76
62950,"Jacob","Jackson County",76
60969,"Union Hill","Kankakee County",73
62078,"Patterson","Greene County",73
62030,"Fidelity","Jersey County",71
61543,"Liverpool","Fulton County",70
60144,"Kaneville","Kane County",66
60536,"Millbrook","Kendall County",62
60519,"Eola","DuPage County",61
62344,"Huntsville","Schuyler County",60
62076,"Ohlman","Montgomery County",59
62861,"Maunie","White County",57
61374,"Van Orin","Bureau County",56
62541,"Lake Fork","Logan County",54
60967,"Stockland","Iroquois County",51
61552,"Mossville","Peoria County",51
60926,"Claytonville","Iroquois County",50
61346,"New Bedford","Bureau County",43
61426,"Castleton","Stark County",41
62532,"Elwin","Macon County",40
61562,"Rome","Peoria County",38
62961,"Millcreek","Union County",37
62256,"Maeystown","Monroe County",35
61236,"Barstow","Rock Island County",34
61027,"Eleroy","Stephenson County",33
61751,"Lawndale","Logan County",32
61057,"Nachusa","Lee County",30
62879,"Sailor Springs","Clay County",28
61855,"Milmine","Piatt County",24
62519,"Cornland","Logan County",24
60183,"Wasco","Kane County",23
61433,"Fiatt","Fulton County",22
62829,"Dale","Hamilton County",22
61424,"Camp Grove","Marshall County",20
61328,"Kasbeer","Bureau County",18
60557,"Wedron","LaSalle County",0
60939,"Goodwine","Iroquois County",0
61237,"Buffalo Prairie","Rock Island County",0
61331,"Lee Center","Lee County",0
62706,"Springfield","Sangamon County",0
62962,"Miller City","Alexander County",0
