"zip","city","county","population"
60406,"Blue Island","Cook County",23327
60502,"Aurora","DuPage County",23308
61244,"East Moline","Rock Island County",23308
61111,"Loves Park","Winnebago County",23286
60153,"Maywood","Cook County",23201
60561,"Darien","DuPage County",23069
62901,"Carbondale","Jackson County",22946
61103,"Rockford","Winnebago County",22869
60008,"Rolling Meadows","Cook County",22800
62864,"Mount Vernon","Jefferson County",22779
60491,"Homer Glen","Will County",22757
60140,"Hampshire","Kane County",22689
61115,"Machesney Park","Winnebago County",22364
61021,"Dixon","Lee County",22308
60178,"Sycamore","DeKalb County",22224
60490,"Bolingbrook","Will County",22156
60803,"Alsip","Cook County",22106
60642,"Chicago","Cook County",21789
60466,"Park Forest","Cook County",21461
60473,"South Holland","Cook County",21225
60045,"Lake Forest","Lake County",21074
61920,"Charleston","Coles County",20951
60164,"Melrose Park","Cook County",20872
61081,"Sterling","Whiteside County",20844
60419,"Dolton","Cook County",20825
60450,"Morris","Grundy County",20783
60443,"Matteson","Cook County",20663
60432,"Joliet","Will County",20465
60404,"Shorewood","Will County",20385
61938,"Mattoon","Coles County",20350
61802,"Urbana","Champaign County",20293
61073,"Roscoe","Winnebago County",20194
60106,"Bensenville","DuPage County",20045
60093,"Winnetka","Cook County",19867
60430,"Homewood","Cook County",19838
62801,"Centralia","Marion County",19827
60194,"Schaumburg","Cook County",19756
60436,"Joliet","Will County",19423
60805,"Evergreen Park","Cook County",19420
60513,"Brookfield","Cook County",19343
61101,"Rockford","Winnebago County",19318
62401,"Effingham","Effingham County",19273
62220,"Belleville","St. Clair County",19152
62305,"Quincy","Adams County",19036
60542,"North Aurora","Kane County",18932
61550,"Morton","Tazewell County",18792
62711,"Springfield","Sangamon County",18559
60403,"Crest Hill","Will County",18371
60104,"Bellwood","Cook County",18256
62656,"Lincoln","Logan County",18234
62298,"Waterloo","Monroe County",18208
60465,"Palos Hills","Cook County",18081
60521,"Hinsdale","DuPage County",18056
60131,"Franklin Park","Cook County",18054
61364,"Streator","LaSalle County",17963
61455,"Macomb","McDonough County",17317
61104,"Rockford","Winnebago County",17222
60084,"Wauconda","Lake County",17192
60304,"Oak Park","Cook County",16955
60455,"Bridgeview","Cook County",16872
62208,"Fairview Heights","St. Clair County",16821
60503,"Aurora","Will County",16789
60192,"Hoffman Estates","Cook County",16461
60154,"Westchester","Cook County",16436
60478,"Country Club Hills","Cook County",16390
60433,"Joliet","Will County",16382
60546,"Riverside","Cook County",16322
61520,"Canton","Fulton County",16291
62223,"Belleville","St. Clair County",16269
62249,"Highland","Madison County",16205
60447,"Minooka","Kendall County",16102
62568,"Taylorville","Christian County",15952
61102,"Rockford","Winnebago County",15937
60118,"Dundee","Kane County",15892
62035,"Godfrey","Madison County",15892
60070,"Prospect Heights","Cook County",15496
62629,"Chatham","Sangamon County",15413
61603,"Peoria","Peoria County",15356
61114,"Rockford","Winnebago County",15325
62294,"Troy","Madison County",15325
60601,"Chicago","Cook County",15235
60555,"Warrenville","DuPage County",15223
62522,"Decatur","Macon County",15185
60417,"Crete","Will County",14901
60064,"North Chicago","Lake County",14884
62034,"Glen Carbon","Madison County",14870
60429,"Hazel Crest","Cook County",14864
61853,"Mahomet","Champaign County",14831
61068,"Rochelle","Ogle County",14788
60457,"Hickory Hills","Cook County",14503
60088,"Great Lakes","Lake County",14400
60191,"Wood Dale","DuPage County",14396
60545,"Plano","Kendall County",14392
60445,"Midlothian","Cook County",14268
60410,"Channahon","Will County",14239
60458,"Justice","Cook County",14200
62236,"Columbia","Monroe County",14154
60415,"Chicago Ridge","Cook County",14099
60026,"Glenview","Cook County",14069
62966,"Murphysboro","Jackson County",13945
60130,"Forest Park","Cook County",13943
60442,"Manhattan","Will County",13753
60463,"Palos Heights","Cook County",13722
61764,"Pontiac","Livingston County",13668
60173,"Schaumburg","Cook County",13650
