"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"DeKalb","DeKalb","County","17037","IL","Illinois","41.8935","-88.7703","100922"
"De Witt","De Witt","County","17039","IL","Illinois","40.1746","-88.9041","15653"
"Cumberland","Cumberland","County","17035","IL","Illinois","39.2733","-88.2402","10528"
"Crawford","Crawford","County","17033","IL","Illinois","39.0027","-87.7596","18825"
"Cook","Cook","County","17031","IL","Illinois","41.8401","-87.8168","5265398"
"Coles","Coles","County","17029","IL","Illinois","39.5203","-88.2217","47542"
"Clinton","Clinton","County","17027","IL","Illinois","38.6065","-89.4225","37048"
"Clay","Clay","County","17025","IL","Illinois","38.7542","-88.4902","13313"
"Clark","Clark","County","17023","IL","Illinois","39.3336","-87.7877","15587"
"Christian","Christian","County","17021","IL","Illinois","39.5458","-89.2773","34038"
"Champaign","Champaign","County","17019","IL","Illinois","40.1401","-88.1992","206583"
"Cass","Cass","County","17017","IL","Illinois","39.9735","-90.2474","13058"
"Carroll","Carroll","County","17015","IL","Illinois","42.0687","-89.9343","15586"
"Calhoun","Calhoun","County","17013","IL","Illinois","39.1693","-90.6676","4537"
"Bureau","Bureau","County","17011","IL","Illinois","41.4041","-89.5286","33338"
"Brown","Brown","County","17009","IL","Illinois","39.9618","-90.7504","6330"
"Boone","Boone","County","17007","IL","Illinois","42.3231","-88.8234","53592"
"Bond","Bond","County","17005","IL","Illinois","38.8868","-89.4356","16804"
"Alexander","Alexander","County","17003","IL","Illinois","37.1915","-89.3375","5488"
"Adams","Adams","County","17001","IL","Illinois","39.9879","-91.1885","65878"
